year,paper_id,relative_pdf_path,puc_public_pdf_url,source_pdf_url
2002,wer200215,"artigos/artigos_WER02/tavares.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/tavares.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/tavares.pdf"
2002,wer200216,"artigos/artigos_WER02/pinheiro.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/pinheiro.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/pinheiro.pdf"
2002,wer200217,"artigos/artigos_WER02/cortez.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/cortez.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/cortez.pdf"
2002,wer200218,"artigos/artigos_WER02/paim.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/paim.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/paim.pdf"
2002,wer200219,"artigos/artigos_WER02/sanchez.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/sanchez.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/sanchez.pdf"
2002,wer200220,"artigos/artigos_WER02/lopez.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/lopez.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/lopez.pdf"
2002,wer200221,"artigos/artigos_WER02/insfran.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER02/insfran.pdf","https://werpapers.dimap.ufrn.br/papers/WER2002/insfran.pdf"
2003,wer200301,"artigos/artigos_WER03/luzardo_silva.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/luzardo_silva.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/luzardo_silva.pdf"
2003,wer200302,"artigos/artigos_WER03/mabel_bertolami.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/mabel_bertolami.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/mabel_bertolami.pdf"
2003,wer200303,"artigos/artigos_WER03/leandro_majdenbaum.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/leandro_majdenbaum.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/leandro_majdenbaum.pdf"
2003,wer200304,"artigos/artigos_WER03/edinelson_batista.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/edinelson_batista.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/edinelson_batista.pdf"
2003,wer200305,"artigos/artigos_WER03/genesio_cruz.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/genesio_cruz.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/genesio_cruz.pdf"
2003,wer200306,"artigos/artigos_WER03/fernanda_alencar.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/fernanda_alencar.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/fernanda_alencar.pdf"
2003,wer200307,"artigos/artigos_WER03/lucia_bastos.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/lucia_bastos.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/lucia_bastos.pdf"
2003,wer200308,"artigos/artigos_WER03/davide_bolchini.pdf","http://wer.inf.puc-rio.br/WERpapers/artigos/artigos_WER03/davide_bolchini.pdf","https://werpapers.dimap.ufrn.br/papers/WER2003/davide_bolchini.pdf"
